detection_datetime,transmitter_id,tagging_project_name,species_common_name,species_scientific_name,animal_sex,receiver_project_name,installation_name,station_name,receiver_name,receiver_deployment_longitude,receiver_deployment_latitude,transmitter_sensor_type,transmitter_type,transmitter_estimated_battery_life,transmitter_deployment_longitude,transmitter_deployment_latitude,transmitter_deployment_datetime
18/12/2023 23:43,A69-9001-63850,IMOS / AIMS Acoustic Telemetry Array Queensland,Tiger Shark,Galeocerdo cuvier,MALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-102044,146.85945,-19.105917,PINGER,V16,3540,146.308015,-18.49408,24/08/2021 0:00
18/12/2023 23:41,A69-9001-63850,IMOS / AIMS Acoustic Telemetry Array Queensland,Tiger Shark,Galeocerdo cuvier,MALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-102044,146.85945,-19.105917,PINGER,V16,3540,146.308015,-18.49408,24/08/2021 0:00
18/12/2023 23:40,A69-9001-63850,IMOS / AIMS Acoustic Telemetry Array Queensland,Tiger Shark,Galeocerdo cuvier,MALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-102044,146.85945,-19.105917,PINGER,V16,3540,146.308015,-18.49408,24/08/2021 0:00
25/05/2022 16:59,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/05/2022 16:57,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/05/2022 16:55,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/05/2022 16:53,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/05/2022 16:49,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/05/2022 16:47,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
25/05/2022 16:46,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
